event_id,source_lineage,region,municipality,event_type,event_date,event_period_start,event_period_end,source_institution,source_title,source_url,local_file_path,evidence_level,georeferencing_status,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,spatial_precision,temporal_precision,is_observed_event,source_confidence,geocoding_confidence,priority_rank,duplicate_group_id,duplicate_candidate,preferred_record,requires_manual_review,can_be_ground_truth,can_be_used_as_ground_truth,allowed_for_training,review_only,consolidation_notes
SUSC14A_00041,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, ^[{",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00042,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Alvorada do Sul, .[?",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,true,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00043,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Doutor Jose Maria de Melo, ""#*9",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00044,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Doutor Jose Maria de Melo, #""#~",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00045,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Alvorada do Sul, ~|}[",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00046,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Doutor Jose Maria de Melo, {})!",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00047,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Doutor Jose Maria de Melo, .<^&",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00048,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Doutor Jose Maria de Melo, 9<-%",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00049,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Alvorada do Sul, `=-[",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00050,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Alvorada do Sul, >#'\",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00051,susc_14a_geocoded,recife,Recife,urban_flooding,2017-05-10,,,Defesa Civil Recife (atendimentos),"Acoes de Porta-Porta Acoes de Porta-Porta Monitoramento Alagado | Rua Alvorada do Sul, #_|/",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00007,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
